published_at,ticker,source,title,overall_sentiment_score,ticker_sentiment_score,relevance_score,url
2026-03-23T13:15:00Z,AAPL,SyntheticWire,Apple suppliers signal healthy upgrade cycle demand,0.44,0.39,0.92,https://example.com/aapl-1
2026-03-24T15:40:00Z,AAPL,SyntheticWire,Analysts remain cautious on Apple services growth,0.08,-0.12,0.88,https://example.com/aapl-2
2026-03-25T12:05:00Z,AAPL,SyntheticWire,Apple expands enterprise device partnerships,0.33,0.29,0.86,https://example.com/aapl-3
2026-03-26T17:20:00Z,AAPL,SyntheticWire,Regulatory scrutiny raises short term pressure on Apple,0.05,-0.28,0.91,https://example.com/aapl-4
2026-03-27T14:55:00Z,AAPL,SyntheticWire,Apple ecosystem retention remains strong in survey,0.41,0.35,0.89,https://example.com/aapl-5
2026-03-30T11:10:00Z,AAPL,SyntheticWire,Apple demand outlook improves ahead of quarter close,0.47,0.42,0.93,https://example.com/aapl-6
2026-03-23T14:10:00Z,MSFT,SyntheticWire,Microsoft cloud backlog points to resilient growth,0.46,0.44,0.94,https://example.com/msft-1
2026-03-24T16:00:00Z,MSFT,SyntheticWire,Microsoft wins new enterprise AI contracts,0.52,0.49,0.95,https://example.com/msft-2
2026-03-25T13:30:00Z,MSFT,SyntheticWire,Investors debate valuation after recent Microsoft rally,0.06,-0.09,0.84,https://example.com/msft-3
2026-03-26T18:05:00Z,MSFT,SyntheticWire,Microsoft productivity suite adoption stays elevated,0.38,0.36,0.87,https://example.com/msft-4
2026-03-27T09:50:00Z,MSFT,SyntheticWire,Microsoft faces narrow margin concerns in hardware unit,-0.02,-0.18,0.82,https://example.com/msft-5
2026-03-30T10:45:00Z,MSFT,SyntheticWire,Broker notes steady Azure momentum for Microsoft,0.43,0.40,0.90,https://example.com/msft-6
2026-03-23T12:20:00Z,NVDA,SyntheticWire,Nvidia demand for accelerators remains elevated,0.58,0.55,0.96,https://example.com/nvda-1
2026-03-24T14:05:00Z,NVDA,SyntheticWire,Nvidia supply chain bottlenecks create shipment worries,0.03,-0.22,0.90,https://example.com/nvda-2
2026-03-25T15:15:00Z,NVDA,SyntheticWire,Nvidia partners announce wider AI server rollout,0.49,0.46,0.93,https://example.com/nvda-3
2026-03-26T13:55:00Z,NVDA,SyntheticWire,Nvidia valuation concerns emerge after sharp gains,0.01,-0.19,0.85,https://example.com/nvda-4
2026-03-27T16:30:00Z,NVDA,SyntheticWire,Nvidia software ecosystem deepens competitive edge,0.54,0.51,0.92,https://example.com/nvda-5
2026-03-30T12:35:00Z,NVDA,SyntheticWire,Nvidia chip roadmap excites major cloud customers,0.61,0.57,0.97,https://example.com/nvda-6
